accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
88.86898,1265.526,1465.776,346.335,-131.2613,-132.0447,-32.53219,-87.08221,-20.98046,0,0,0,0,0,0,0,0,0,0,0.01384127
90.49519,1321.421,1419.421,242.068,-104.609,-88.83573,-33.82575,-88.46577,-21.98437,0,0,0,0,0,0,0,0,0,0,0.02768253
90.49519,1321.421,1419.421,242.068,-104.609,-88.83573,-33.82575,-88.46577,-21.98437,0,0,0,0,0,0,0,0,0,0,0.04768253
90.49519,1321.421,1419.421,242.068,-104.609,-88.83573,-33.82575,-88.46577,-21.98437,0,0,0,0,0,0,0,0,0,0,0.06682014
90.49519,1321.421,1419.421,242.068,-104.609,-88.83573,-33.82575,-88.46577,-21.98437,0,0,0,0,0,0,0,0,0,0,0.08503781
90.49519,1321.421,1419.421,242.068,-104.609,-88.83573,-33.82575,-88.46577,-21.98437,0,0,0,0,0,0,0,0,0,0,0.100742
90.49519,1321.421,1419.421,242.068,-104.609,-88.83573,-33.82575,-88.46577,-21.98437,0,0,0,0,0,0,0,0,0,0,0.1189016
90.49519,1321.421,1419.421,242.068,-104.609,-88.83573,-33.82575,-88.46577,-21.98437,0,0,0,0,0,0,0,0,0,0,0.133025
96.19615,1356.937,1398.937,148.0544,-81.08723,-54.26859,-35.8606,-89.97262,-23.3875,0,0,0,0,0,0,0,0,0,0,0.1519243
96.19615,1356.937,1398.937,148.0544,-81.08723,-54.26859,-35.8606,-89.97262,-23.3875,0,0,0,0,0,0,0,0,0,0,0.1668031
96.19615,1356.937,1398.937,148.0544,-81.08723,-54.26859,-35.8606,-89.97262,-23.3875,0,0,0,0,0,0,0,0,0,0,0.185216
96.19615,1356.937,1398.937,148.0544,-81.08723,-54.26859,-35.8606,-89.97262,-23.3875,0,0,0,0,0,0,0,0,0,0,0.2000936
96.19615,1356.937,1398.937,148.0544,-81.08723,-54.26859,-35.8606,-89.97262,-23.3875,0,0,0,0,0,0,0,0,0,0,0.2178025
96.19615,1356.937,1398.937,148.0544,-81.08723,-54.26859,-35.8606,-89.97262,-23.3875,0,0,0,0,0,0,0,0,0,0,0.2342464
96.19615,1356.937,1398.937,148.0544,-81.08723,-54.26859,-35.8606,-89.97262,-23.3875,0,0,0,0,0,0,0,0,0,0,0.2509593
103.5569,1379.15,1386.949,109.0435,-63.46978,-39.61487,-36.88848,-90.7781,-24.51,0,0,0,0,0,0,0,0,0,0,0.2674266
103.5569,1379.15,1386.949,109.0435,-63.46978,-39.61487,-36.88848,-90.7781,-24.51,0,0,0,0,0,0,0,0,0,0,0.2851306
103.5569,1379.15,1386.949,109.0435,-63.46978,-39.61487,-36.88848,-90.7781,-24.51,0,0,0,0,0,0,0,0,0,0,0.3001135
103.5569,1379.15,1386.949,109.0435,-63.46978,-39.61487,-36.88848,-90.7781,-24.51,0,0,0,0,0,0,0,0,0,0,0.3188868
110.8455,1399.72,1366.559,86.83482,-49.77583,-29.4919,-38.11079,-90.62248,-24.208,0,0,0,0,0,0,0,0,0,0,0.3335542
110.8455,1399.72,1366.559,86.83482,-49.77583,-29.4919,-38.11079,-90.62248,-24.208,0,0,0,0,0,0,0,0,0,0,0.3519813
110.8455,1399.72,1366.559,86.83482,-49.77583,-29.4919,-38.11079,-90.62248,-24.208,0,0,0,0,0,0,0,0,0,0,0.3668813
110.8455,1399.72,1366.559,86.83482,-49.77583,-29.4919,-38.11079,-90.62248,-24.208,0,0,0,0,0,0,0,0,0,0,0.3851097
110.8455,1399.72,1366.559,86.83482,-49.77583,-29.4919,-38.11079,-90.62248,-24.208,0,0,0,0,0,0,0,0,0,0,0.4001514
110.8455,1399.72,1366.559,86.83482,-49.77583,-29.4919,-38.11079,-90.62248,-24.208,0,0,0,0,0,0,0,0,0,0,0.41905
114.4764,1416.976,1348.648,65.26785,-38.22066,-21.59352,-39.68863,-90.29799,-24.5664,0,0,0,0,0,0,0,0,0,0,0.4335422
114.4764,1416.976,1348.648,65.26785,-38.22066,-21.59352,-39.68863,-90.29799,-24.5664,0,0,0,0,0,0,0,0,0,0,0.4520024
accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04027597
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08055194
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1005519
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1216752
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538331
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1919673
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2319841
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2635359
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2988523
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3363598
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3654831
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4781095
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5092495
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5384638
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5771574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6064153
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6475585
