pitch,roll,yaw,time
56.94868,3.999104,33.07907,0.01384127
59.46395,4.072284,32.32559,0.02768253
59.46395,4.072284,31.57212,0.04768253
59.46395,4.072284,30.81864,0.06682014
59.46395,4.072284,30.06517,0.08503781
59.46395,4.072284,29.31169,0.100742
59.46395,4.072284,28.55822,0.1189016
59.46395,4.072284,27.80474,0.133025
61.06216,4.328827,27.25278,0.1519243
61.06216,4.328827,26.70083,0.1668031
61.06216,4.328827,26.14887,0.185216
61.06216,4.328827,25.59692,0.2000936
61.06216,4.328827,25.04496,0.2178025
61.06216,4.328827,24.493,0.2342464
61.06216,4.328827,23.94105,0.2509593
62.06173,4.660062,23.50278,0.2674266
62.06173,4.660062,23.0645,0.2851306
62.06173,4.660062,22.62623,0.3001135
62.06173,4.660062,22.18796,0.3188868
62.25483,4.98805,21.8322,0.3335542
62.25483,4.98805,21.47644,0.3519813
62.25483,4.98805,21.12068,0.3668813
62.25483,4.98805,20.76492,0.3851097
62.25483,4.98805,20.40915,0.4001514
62.25483,4.98805,20.05339,0.41905
63.06086,5.15144,19.76898,0.4335422
63.06086,5.15144,19.48457,0.4520024
pitch,roll,yaw,time
123.75,0,-8.000614,0.04027597
123.75,0,-8.005357,0.08055194
123.75,0,-8.010099,0.1005519
123.75,0,-8.014842,0.1216752
123.75,0,-8.019585,0.1538331
123.75,0,-8.024327,0.1919673
123.75,0,-8.02907,0.2319841
123.75,0,-8.033813,0.2635359
123.75,0,-8.038555,0.2988523
123.75,0,-8.043298,0.3363598
123.75,0,-8.04804,0.3654831
123.75,0,-8.052783,0.398387
123.75,0,-8.057526,0.434255
123.75,0,-8.062268,0.4781095
123.75,0,-8.067011,0.5092495
123.75,0,-8.071754,0.5384638
123.75,0,-8.076496,0.5771574
123.75,0,-8.081239,0.6064153
123.75,0,-8.085981,0.6475585
123.75,0,-8.090724,0.6759826
123.75,0,-8.095467,0.7172028
123.75,0,-8.100209,0.7468899
123.75,0,-8.104952,0.7862633
123.75,0,-8.109694,0.81569
123.75,0,-8.114437,0.8555542
123.75,0,-8.11918,0.8855351
123.75,0,-8.123922,0.9255725
123.75,0,-8.128665,0.9558471
123.75,0,-8.133408,0.9867369
123.75,0,-8.13815,1.026865
123.75,0,-8.142893,1.056284
123.75,0,-8.147635,1.097206
123.75,0,-8.152378,1.126124
123.75,0,-8.157121,1.166958
123.75,0,-8.161863,1.196153
123.75,0,-8.166606,1.2379
123.75,0,-8.171349,1.265782
123.75,0,-8.176091,1.302626
123.75,0,-8.180834,1.341871
123.75,0,-8.185576,1.372017
123.75,0,-8.190319,1.413801
123.75,0,-8.195062,1.444229
123.75,0,-8.199804,1.486354
123.75,0,-8.204547,1.516718
123.75,0,-8.20929,1.601081
