accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
49.45734,745.9576,1762.044,129.9387,-127.8761,-136.5402,-13.58411,-79.99468,-19.91492,0,0,0,0,0,0,0,0,0,0,0.01653343
63.36588,826.7661,1726.035,317.951,-245.9009,-265.8322,-14.86729,-82.39574,-20.33194,0,0,0,0,0,0,0,0,0,0,0.03306687
63.36588,826.7661,1726.035,317.951,-245.9009,-265.8322,-14.86729,-82.39574,-20.33194,0,0,0,0,0,0,0,0,0,0,0.05306687
63.36588,826.7661,1726.035,317.951,-245.9009,-265.8322,-14.86729,-82.39574,-20.33194,0,0,0,0,0,0,0,0,0,0,0.07513988
63.36588,826.7661,1726.035,317.951,-245.9009,-265.8322,-14.86729,-82.39574,-20.33194,0,0,0,0,0,0,0,0,0,0,0.09300057
63.36588,826.7661,1726.035,317.951,-245.9009,-265.8322,-14.86729,-82.39574,-20.33194,0,0,0,0,0,0,0,0,0,0,0.1086675
77.8927,922.4129,1650.828,373.3608,-222.3207,-255.6658,-17.89383,-84.3166,-20.66555,0,0,0,0,0,0,0,0,0,0,0.1258834
77.8927,922.4129,1650.828,373.3608,-222.3207,-255.6658,-17.89383,-84.3166,-20.66555,0,0,0,0,0,0,0,0,0,0,0.1416817
77.8927,922.4129,1650.828,373.3608,-222.3207,-255.6658,-17.89383,-84.3166,-20.66555,0,0,0,0,0,0,0,0,0,0,0.1599755
77.8927,922.4129,1650.828,373.3608,-222.3207,-255.6658,-17.89383,-84.3166,-20.66555,0,0,0,0,0,0,0,0,0,0,0.1743217
77.8927,922.4129,1650.828,373.3608,-222.3207,-255.6658,-17.89383,-84.3166,-20.66555,0,0,0,0,0,0,0,0,0,0,0.1939254
77.8927,922.4129,1650.828,373.3608,-222.3207,-255.6658,-17.89383,-84.3166,-20.66555,0,0,0,0,0,0,0,0,0,0,0.2084207
89.31416,990.7303,1611.263,289.8886,-179.8566,-198.9326,-20.91507,-85.05328,-20.13244,0,0,0,0,0,0,0,0,0,0,0.2289293
89.31416,990.7303,1611.263,289.8886,-179.8566,-198.9326,-20.91507,-85.05328,-20.13244,0,0,0,0,0,0,0,0,0,0,0.2426576
89.31416,990.7303,1611.263,289.8886,-179.8566,-198.9326,-20.91507,-85.05328,-20.13244,0,0,0,0,0,0,0,0,0,0,0.2599354
89.31416,990.7303,1611.263,289.8886,-179.8566,-198.9326,-20.91507,-85.05328,-20.13244,0,0,0,0,0,0,0,0,0,0,0.2750966
89.31416,990.7303,1611.263,289.8886,-179.8566,-198.9326,-20.91507,-85.05328,-20.13244,0,0,0,0,0,0,0,0,0,0,0.2928316
89.31416,990.7303,1611.263,289.8886,-179.8566,-198.9326,-20.91507,-85.05328,-20.13244,0,0,0,0,0,0,0,0,0,0,0.3086876
89.31416,990.7303,1611.263,289.8886,-179.8566,-198.9326,-20.91507,-85.05328,-20.13244,0,0,0,0,0,0,0,0,0,0,0.3270901
98.05133,1034.784,1593.81,183.5109,-140.6853,-146.1461,-22.53205,-86.04263,-19.70595,0,0,0,0,0,0,0,0,0,0,0.3418298
98.05133,1034.784,1593.81,183.5109,-140.6853,-146.1461,-22.53205,-86.04263,-19.70595,0,0,0,0,0,0,0,0,0,0,0.3610792
98.05133,1034.784,1593.81,183.5109,-140.6853,-146.1461,-22.53205,-86.04263,-19.70595,0,0,0,0,0,0,0,0,0,0,0.374572
98.05133,1034.784,1593.81,183.5109,-140.6853,-146.1461,-22.53205,-86.04263,-19.70595,0,0,0,0,0,0,0,0,0,0,0.3940366
98.05133,1034.784,1593.81,183.5109,-140.6853,-146.1461,-22.53205,-86.04263,-19.70595,0,0,0,0,0,0,0,0,0,0,0.4087932
116.4411,1066.227,1585.448,138.8087,-113.9482,-115.5169,-24.82564,-87.2341,-20.96476,0,0,0,0,0,0,0,0,0,0,0.4270324
accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
right_to_left
123.1529,1093.982,1569.759,103.247,-66.95859,-77.21349,-27.66051,-88.18728,-21.57181,0,0,0,0,0,0,0,0,0,0,0.01537718
126.1223,1128.186,1553.807,-11.00241,119.2331,22.62921,-28.12841,-88.34982,-22.45745,0,0,0,0,0,0,0,0,0,0,0.03075436
126.1223,1128.186,1553.807,-11.00241,119.2331,22.62921,-28.12841,-88.34982,-22.45745,0,0,0,0,0,0,0,0,0,0,0.05075436
126.1223,1128.186,1553.807,-11.00241,119.2331,22.62921,-28.12841,-88.34982,-22.45745,0,0,0,0,0,0,0,0,0,0,0.06493416
126.1223,1128.186,1553.807,-11.00241,119.2331,22.62921,-28.12841,-88.34982,-22.45745,0,0,0,0,0,0,0,0,0,0,0.08389309
126.1223,1128.186,1553.807,-11.00241,119.2331,22.62921,-28.12841,-88.34982,-22.45745,0,0,0,0,0,0,0,0,0,0,0.09772783
126.1223,1128.186,1553.807,-11.00241,119.2331,22.62921,-28.12841,-88.34982,-22.45745,0,0,0,0,0,0,0,0,0,0,0.1168658
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1316939
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1498535
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1652211
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1827198
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.1982019
93.69783,1089.148,1601.046,-55.60193,163.1865,87.90337,-26.90273,-86.47986,-20.96596,0,0,0,0,0,0,0,0,0,0,0.2168365
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.23203
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.2498403
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.2644866
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.283728
76.75826,1093.919,1592.236,-36.28154,136.5492,64.72269,-26.72219,-85.78389,-19.37277,0,0,0,0,0,0,0,0,0,0,0.2984535
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3167518
67.40661,1081.935,1605.389,-89.62524,93.23937,72.57816,-25.17775,-85.82711,-18.09822,0,0,0,0,0,0,0,0,0,0,0.3317236
