pitch,roll,yaw,time
left_to_right
33.5681,2.22558,63.22667,0.01653343
37.20448,2.851465,61.44714,0.03306687
37.20448,2.851465,59.66761,0.05306687
37.20448,2.851465,57.88807,0.07513988
37.20448,2.851465,56.10854,0.09300057
37.20448,2.851465,54.32901,0.1086675
41.50858,3.505172,52.61599,0.1258834
41.50858,3.505172,50.90297,0.1416817
41.50858,3.505172,49.18996,0.1599755
41.50858,3.505172,47.47694,0.1743217
41.50858,3.505172,45.76392,0.1939254
41.50858,3.505172,44.05091,0.2084207
44.58287,4.019137,42.67345,0.2289293
44.58287,4.019137,41.29599,0.2426576
44.58287,4.019137,39.91853,0.2599354
44.58287,4.019137,38.54107,0.2750966
44.58287,4.019137,37.1636,0.2928316
44.58287,4.019137,35.78614,0.3086876
44.58287,4.019137,34.40868,0.3270901
46.5653,4.41231,33.35807,0.3418298
46.5653,4.41231,32.30746,0.3610792
46.5653,4.41231,31.25686,0.374572
46.5653,4.41231,30.20625,0.3940366
46.5653,4.41231,29.15564,0.4087932
47.98024,5.239848,28.29687,0.4270324
pitch,roll,yaw,time
right_to_left
49.22919,5.541879,27.72805,0.01537718
50.76835,5.675503,28.15784,0.03075436
50.76835,5.675503,28.58763,0.05075436
50.76835,5.675503,29.01741,0.06493416
50.76835,5.675503,29.4472,0.08389309
50.76835,5.675503,29.87699,0.09772783
50.76835,5.675503,30.30678,0.1168658
49.01168,4.216403,31.09308,0.1316939
49.01168,4.216403,31.87937,0.1498535
49.01168,4.216403,32.66567,0.1652211
49.01168,4.216403,33.45197,0.1827198
49.01168,4.216403,34.23826,0.1982019
49.01168,4.216403,35.02456,0.2168365
49.22635,3.454122,35.64359,0.23203
49.22635,3.454122,36.26263,0.2498403
49.22635,3.454122,36.88166,0.2644866
49.22635,3.454122,37.50069,0.283728
49.22635,3.454122,38.11973,0.2984535
48.68708,3.033298,38.62461,0.3167518
48.68708,3.033298,39.12949,0.3317236
48.68708,3.033298,39.63438,0.3498041
48.68708,3.033298,40.13926,0.3647917
48.68708,3.033298,40.64414,0.3840415
48.68708,3.033298,41.14902,0.3983466
48.68708,3.033298,41.65391,0.4168198
48.68708,3.033298,42.15879,0.4320529
47.98566,2.966638,42.55684,0.4497625
47.98566,2.966638,42.95488,0.4652016
47.98566,2.966638,43.35292,0.4837486
47.98566,2.966638,43.75097,0.4985155
47.98566,2.966638,44.14901,0.5167854
47.46953,3.03931,44.46009,0.5321715
pitch,roll,yaw,time
left_to_right
123.75,0,-3.073077,0.02859216
123.75,0,-3.077819,0.05718431
123.75,0,-3.082561,0.07718431
123.75,0,-3.087304,0.09529728
123.75,0,-3.092046,0.1181197
123.75,0,-3.096789,0.1581051
123.75,0,-3.101531,0.1873175
123.75,0,-3.106273,0.218945
123.75,0,-3.111016,0.2584634
123.75,0,-3.115758,0.2877573
123.75,0,-3.120501,0.3278094
123.75,0,-3.125243,0.3575081
123.75,0,-3.129985,0.3887949
123.75,0,-3.134728,0.4296802
123.75,0,-3.13947,0.4576438
123.75,0,-3.144212,0.5000833
123.75,0,-3.148955,0.5321598
123.75,0,-3.153697,0.5631747
123.75,0,-3.15844,0.601976
123.75,0,-3.163182,0.6297035
123.75,0,-3.167924,0.6692411
123.75,0,-3.172667,0.7472247
123.75,0,-3.177409,0.7771453
123.75,0,-3.182152,0.8013911
123.75,0,-3.186894,0.8259299
123.75,0,-3.191636,0.8574195
123.75,0,-3.196379,0.8968064
123.75,0,-3.201121,0.925437
123.75,0,-3.205863,0.95855
123.75,0,-3.210606,0.9976907
123.75,0,-3.215348,1.025507
123.75,0,-3.220091,1.065762
123.75,0,-3.224833,1.097177
123.75,0,-3.229575,1.126183
123.75,0,-3.234318,1.167119
123.75,0,-3.23906,1.199853
123.75,0,-3.243803,1.237529
123.75,0,-3.248545,1.269209
123.75,0,-3.253287,1.299649
123.75,0,-3.25803,1.333677
123.75,0,-3.262772,1.372267
123.75,0,-3.267514,1.411739
123.75,0,-3.272257,1.44058
123.75,0,-3.276999,1.470073
123.75,0,-3.281742,1.511899
123.75,0,-3.286484,1.543991
123.75,0,-3.291226,1.573545
123.75,0,-3.295969,1.614223
123.75,0,-3.300711,1.641629
123.75,0,-3.305454,1.683883
123.75,0,-3.310196,1.785226
123.75,0,-3.314938,1.810512
123.75,0,-3.319681,1.836771
