accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
left_to_right
114.4122,1098.098,1582.519,633.0164,-205.74,-210.9241,-26.69166,-85.03522,-20.71129,0,0,0,0,0,0,0,0,0,0,0.01878408
114.4122,1098.098,1582.519,633.0164,-205.74,-210.9241,-26.69166,-85.03522,-20.71129,0,0,0,0,0,0,0,0,0,0,0.03756816
114.4122,1098.098,1582.519,633.0164,-205.74,-210.9241,-26.69166,-85.03522,-20.71129,0,0,0,0,0,0,0,0,0,0,0.05756816
114.4122,1098.098,1582.519,633.0164,-205.74,-210.9241,-26.69166,-85.03522,-20.71129,0,0,0,0,0,0,0,0,0,0,0.06654385
114.4122,1098.098,1582.519,633.0164,-205.74,-210.9241,-26.69166,-85.03522,-20.71129,0,0,0,0,0,0,0,0,0,0,0.0846766
114.4122,1098.098,1582.519,633.0164,-205.74,-210.9241,-26.69166,-85.03522,-20.71129,0,0,0,0,0,0,0,0,0,0,0.1000899
101.7298,1218.078,1470.415,653.0131,-187.192,-212.5393,-30.15333,-85.82818,-22.36903,0,0,0,0,0,0,0,0,0,0,0.1187264
101.7298,1218.078,1470.415,653.0131,-187.192,-212.5393,-30.15333,-85.82818,-22.36903,0,0,0,0,0,0,0,0,0,0,0.1333024
101.7298,1218.078,1470.415,653.0131,-187.192,-212.5393,-30.15333,-85.82818,-22.36903,0,0,0,0,0,0,0,0,0,0,0.1506839
101.7298,1218.078,1470.415,653.0131,-187.192,-212.5393,-30.15333,-85.82818,-22.36903,0,0,0,0,0,0,0,0,0,0,0.1662052
101.7298,1218.078,1470.415,653.0131,-187.192,-212.5393,-30.15333,-85.82818,-22.36903,0,0,0,0,0,0,0,0,0,0,0.1846865
101.7298,1218.078,1470.415,653.0131,-187.192,-212.5393,-30.15333,-85.82818,-22.36903,0,0,0,0,0,0,0,0,0,0,0.1990692
106.9838,1333.263,1363.932,598.2105,-146.3536,-202.4314,-34.52266,-86.66254,-24.49523,0,0,0,0,0,0,0,0,0,0,0.2177522
106.9838,1333.263,1363.932,598.2105,-146.3536,-202.4314,-34.52266,-86.66254,-24.49523,0,0,0,0,0,0,0,0,0,0,0.2326759
106.9838,1333.263,1363.932,598.2105,-146.3536,-202.4314,-34.52266,-86.66254,-24.49523,0,0,0,0,0,0,0,0,0,0,0.2516614
106.9838,1333.263,1363.932,598.2105,-146.3536,-202.4314,-34.52266,-86.66254,-24.49523,0,0,0,0,0,0,0,0,0,0,0.2655899
106.9838,1333.263,1363.932,598.2105,-146.3536,-202.4314,-34.52266,-86.66254,-24.49523,0,0,0,0,0,0,0,0,0,0,0.2850803
106.9838,1333.263,1363.932,598.2105,-146.3536,-202.4314,-34.52266,-86.66254,-24.49523,0,0,0,0,0,0,0,0,0,0,0.300439
83.98706,1435.61,1257.346,548.3684,-108.2829,-196.5452,-38.41813,-87.93004,-26.19618,0,0,0,0,0,0,0,0,0,0,0.3198325
83.98706,1435.61,1257.346,548.3684,-108.2829,-196.5452,-38.41813,-87.93004,-26.19618,0,0,0,0,0,0,0,0,0,0,0.3333798
83.98706,1435.61,1257.346,548.3684,-108.2829,-196.5452,-38.41813,-87.93004,-26.19618,0,0,0,0,0,0,0,0,0,0,0.3518454
83.98706,1435.61,1257.346,548.3684,-108.2829,-196.5452,-38.41813,-87.93004,-26.19618,0,0,0,0,0,0,0,0,0,0,0.3665892
83.98706,1435.61,1257.346,548.3684,-108.2829,-196.5452,-38.41813,-87.93004,-26.19618,0,0,0,0,0,0,0,0,0,0,0.3847424
83.98706,1435.61,1257.346,548.3684,-108.2829,-196.5452,-38.41813,-87.93004,-26.19618,0,0,0,0,0,0,0,0,0,0,0.3998575
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.418788
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.4332606
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.4507259
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.4666176
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.4847457
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.4998647
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.5177388
64.38965,1510.288,1174.677,464.0947,-70.42629,-165.6361,-42.93451,-88.94403,-26.55694,0,0,0,0,0,0,0,0,0,0,0.5332732
58.11172,1575.631,1113.341,333.4758,26.65897,-143.3089,-45.7476,-88.75523,-25.84556,0,0,0,0,0,0,0,0,0,0,0.5527428
58.11172,1575.631,1113.341,333.4758,26.65897,-143.3089,-45.7476,-88.75523,-25.84556,0,0,0,0,0,0,0,0,0,0,0.5667754
58.11172,1575.631,1113.341,333.4758,26.65897,-143.3089,-45.7476,-88.75523,-25.84556,0,0,0,0,0,0,0,0,0,0,0.5847041
58.11172,1575.631,1113.341,333.4758,26.65897,-143.3089,-45.7476,-88.75523,-25.84556,0,0,0,0,0,0,0,0,0,0,0.5999741
58.11172,1575.631,1113.341,333.4758,26.65897,-143.3089,-45.7476,-88.75523,-25.84556,0,0,0,0,0,0,0,0,0,0,0.618757
28.88938,1627.104,1049.273,294.7806,76.32717,-151.8471,-47.39808,-89.00418,-26.27645,0,0,0,0,0,0,0,0,0,0,0.6329403
28.88938,1627.104,1049.273,294.7806,76.32717,-151.8471,-47.39808,-89.00418,-26.27645,0,0,0,0,0,0,0,0,0,0,0.6507203
28.88938,1627.104,1049.273,294.7806,76.32717,-151.8471,-47.39808,-89.00418,-26.27645,0,0,0,0,0,0,0,0,0,0,0.6664018
28.88938,1627.104,1049.273,294.7806,76.32717,-151.8471,-47.39808,-89.00418,-26.27645,0,0,0,0,0,0,0,0,0,0,0.6847071
28.88938,1627.104,1049.273,294.7806,76.32717,-151.8471,-47.39808,-89.00418,-26.27645,0,0,0,0,0,0,0,0,0,0,0.6998526
-7.888498,1663.484,980.6183,168.8245,130.0617,-119.2777,-50.31847,-88.60335,-25.82116,0,0,0,0,0,0,0,0,0,0,0.7177075
-7.888498,1663.484,980.6183,168.8245,130.0617,-119.2777,-50.31847,-88.60335,-25.82116,0,0,0,0,0,0,0,0,0,0,0.7336723
-7.888498,1663.484,980.6183,168.8245,130.0617,-119.2777,-50.31847,-88.60335,-25.82116,0,0,0,0,0,0,0,0,0,0,0.7518519
-7.888498,1663.484,980.6183,168.8245,130.0617,-119.2777,-50.31847,-88.60335,-25.82116,0,0,0,0,0,0,0,0,0,0,0.7660252
-7.888498,1663.484,980.6183,168.8245,130.0617,-119.2777,-50.31847,-88.60335,-25.82116,0,0,0,0,0,0,0,0,0,0,0.7858514
-40.5108,1683.587,943.8947,-48.54039,155.6494,-47.82216,-50.65477,-87.48268,-25.25693,0,0,0,0,0,0,0,0,0,0,0.8006679
-40.5108,1683.587,943.8947,-48.54039,155.6494,-47.82216,-50.65477,-87.48268,-25.25693,0,0,0,0,0,0,0,0,0,0,0.8187415
-40.5108,1683.587,943.8947,-48.54039,155.6494,-47.82216,-50.65477,-87.48268,-25.25693,0,0,0,0,0,0,0,0,0,0,0.8331131
-40.5108,1683.587,943.8947,-48.54039,155.6494,-47.82216,-50.65477,-87.48268,-25.25693,0,0,0,0,0,0,0,0,0,0,0.85175
