accX,accY,accZ,gyrX,gyrY,gyrZ,cmpX,cmpY,cmpZ,fr1,fr2,fr3,fr4,fr5,fl1,fl2,fl3,fl4,fl5,time
step1
84.09028,346.5936,2122.69,1.450403,7.579928,7.345871,-4.139918,59.93304,126.4218,606,453,140,339,0,514,269,68,108,123,0.002911948
84.09028,346.5936,2122.69,1.450403,7.579928,7.345871,-4.139918,59.93304,126.4218,606,453,140,339,0,514,269,68,108,123,0.002911948
84.09028,346.5936,2122.69,1.450403,7.579928,7.345871,-4.139918,59.93304,126.4218,606,453,140,339,0,514,269,68,108,123,0.02
84.09028,346.5936,2122.69,1.450403,7.579928,7.345871,-4.139918,59.93304,126.4218,606,453,140,339,0,514,269,68,108,123,0.01685148
84.09028,346.5936,2122.69,1.450403,7.579928,7.345871,-4.139918,59.93304,126.4218,606,453,140,339,0,514,269,68,108,123,0.01684764
80.87222,353.6749,2124.752,-13.43968,6.463943,5.876697,-4.311935,60.54643,127.1374,611,492,88,319,0,538,399,37,88,72,0.01684956
80.87222,353.6749,2124.752,-13.43968,6.463943,5.876697,-4.311935,60.54643,127.1374,611,492,88,319,0,538,399,37,88,72,0.01684803
80.87222,353.6749,2124.752,-13.43968,6.463943,5.876697,-4.311935,60.54643,127.1374,611,492,88,319,0,538,399,37,88,72,0.01684995
80.87222,353.6749,2124.752,-13.43968,6.463943,5.876697,-4.311935,60.54643,127.1374,611,492,88,319,0,538,399,37,88,72,0.01684841
80.87222,353.6749,2124.752,-13.43968,6.463943,5.876697,-4.311935,60.54643,127.1374,611,492,88,319,0,538,399,37,88,72,0.01684995
78.49778,348.1399,2131.802,-0.5517426,3.371154,5.501358,-5.249548,61.23715,127.5099,618,464,102,345,53,549,413,46,118,49,0.0168488
78.49778,348.1399,2131.802,-0.5517426,3.371154,5.501358,-5.249548,61.23715,127.5099,618,464,102,345,53,549,413,46,118,49,0.003518699
78.49778,348.1399,2131.802,-0.5517426,3.371154,5.501358,-5.249548,61.23715,127.5099,618,464,102,345,53,549,413,46,118,49,0.01684956
78.49778,348.1399,2131.802,-0.5517426,3.371154,5.501358,-5.249548,61.23715,127.5099,618,464,102,345,53,549,413,46,118,49,0.0168488
78.49778,348.1399,2131.802,-0.5517426,3.371154,5.501358,-5.249548,61.23715,127.5099,618,464,102,345,53,549,413,46,118,49,0.01684995
78.49778,348.1399,2131.802,-0.5517426,3.371154,5.501358,-5.249548,61.23715,127.5099,618,464,102,345,53,549,413,46,118,49,0.01684841
78.49778,348.1399,2131.802,-0.5517426,3.371154,5.501358,-5.249548,61.23715,127.5099,618,464,102,345,53,549,413,46,118,49,0.01684956
81.39822,349.312,2134.841,-16.24139,4.096923,5.401086,-5.999639,60.78972,126.808,636,374,422,428,17,554,343,114,137,66,0.01684918
81.39822,349.312,2134.841,-16.24139,4.096923,5.401086,-5.999639,60.78972,126.808,636,374,422,428,17,554,343,114,137,66,0.01684995
81.39822,349.312,2134.841,-16.24139,4.096923,5.401086,-5.999639,60.78972,126.808,636,374,422,428,17,554,343,114,137,66,0.01684841
81.39822,349.312,2134.841,-16.24139,4.096923,5.401086,-5.999639,60.78972,126.808,636,374,422,428,17,554,343,114,137,66,0.01684956
81.39822,349.312,2134.841,-16.24139,4.096923,5.401086,-5.999639,60.78972,126.808,636,374,422,428,17,554,343,114,137,66,0.01684918
81.39822,349.312,2134.841,-16.24139,4.096923,5.401086,-5.999639,60.78972,126.808,636,374,422,428,17,554,343,114,137,66,0.01684956
81.39822,349.312,2134.841,-16.24139,4.096923,5.401086,-5.999639,60.78972,126.808,636,374,422,428,17,554,343,114,137,66,0.01684803
81.11858,355.8496,2130.273,-16.79312,3.877539,5.120869,-5.999711,60.03178,125.8464,613,281,373,401,0,541,204,114,113,26,0.01684995
81.11858,355.8496,2130.273,-16.79312,3.877539,5.120869,-5.999711,60.03178,125.8464,613,281,373,401,0,541,204,114,113,26,0.01684841
81.11858,355.8496,2130.273,-16.79312,3.877539,5.120869,-5.999711,60.03178,125.8464,613,281,373,401,0,541,204,114,113,26,0.01684956
81.11858,355.8496,2130.273,-16.79312,3.877539,5.120869,-5.999711,60.03178,125.8464,613,281,373,401,0,541,204,114,113,26,0.0168488
81.11858,355.8496,2130.273,-16.79312,3.877539,5.120869,-5.999711,60.03178,125.8464,613,281,373,401,0,541,204,114,113,26,0.0168488
82.29487,357.8797,2133.219,-38.23449,3.502031,5.696695,-5.999769,61.22542,126.4771,620,247,487,392,0,563,250,184,136,0,0.01684918
82.29487,357.8797,2133.219,-38.23449,3.502031,5.696695,-5.999769,61.22542,126.4771,620,247,487,392,0,563,250,184,136,0,0.01685072
82.29487,357.8797,2133.219,-38.23449,3.502031,5.696695,-5.999769,61.22542,126.4771,620,247,487,392,0,563,250,184,136,0,0.01684803
82.29487,357.8797,2133.219,-38.23449,3.502031,5.696695,-5.999769,61.22542,126.4771,620,247,487,392,0,563,250,184,136,0,0.01684918
82.29487,357.8797,2133.219,-38.23449,3.502031,5.696695,-5.999769,61.22542,126.4771,620,247,487,392,0,563,250,184,136,0,0.0168488
82.29487,357.8797,2133.219,-38.23449,3.502031,5.696695,-5.999769,61.22542,126.4771,620,247,487,392,0,563,250,184,136,0,0.01684995
82.29487,357.8797,2133.219,-38.23449,3.502031,5.696695,-5.999769,61.22542,126.4771,620,247,487,392,0,563,250,184,136,0,0.01684918
83.63589,383.9037,2125.575,-25.38759,4.601625,2.557356,-5.799815,61.18034,127.1817,559,91,199,300,0,466,48,87,90,0,0.0168488
83.63589,383.9037,2125.575,-25.38759,4.601625,2.557356,-5.799815,61.18034,127.1817,559,91,199,300,0,466,48,87,90,0,0.01684918
83.63589,383.9037,2125.575,-25.38759,4.601625,2.557356,-5.799815,61.18034,127.1817,559,91,199,300,0,466,48,87,90,0,0.01684918
83.63589,383.9037,2125.575,-25.38759,4.601625,2.557356,-5.799815,61.18034,127.1817,559,91,199,300,0,466,48,87,90,0,0.01684918
83.63589,383.9037,2125.575,-25.38759,4.601625,2.557356,-5.799815,61.18034,127.1817,559,91,199,300,0,466,48,87,90,0,0.01684918
83.63589,383.9037,2125.575,-25.38759,4.601625,2.557356,-5.799815,61.18034,127.1817,559,91,199,300,0,466,48,87,90,0,0.003682396
