pitch,roll,yaw,time
step1
0.2644766,-0.06645478,-9.350631,0.002911948
0.272214,-0.06604435,-9.340242,0.002911948
0.272214,-0.06604435,-9.329854,0.02
0.272214,-0.06604435,-9.319466,0.01685148
0.272214,-0.06604435,-9.309077,0.01684764
0.272214,-0.06604435,-9.298689,0.01684956
0.2777756,-0.0635169,-9.292146,0.01684803
0.2777756,-0.0635169,-9.285603,0.01684995
0.2777756,-0.0635169,-9.279059,0.01684841
0.2777756,-0.0635169,-9.272516,0.01684995
0.2777756,-0.0635169,-9.265973,0.0168488
0.2734285,-0.06165202,-9.260072,0.003518699
0.2734285,-0.06165202,-9.25417,0.01684956
0.2734285,-0.06165202,-9.248269,0.0168488
0.2734285,-0.06165202,-9.242368,0.01684995
0.2734285,-0.06165202,-9.236466,0.01684841
0.2734285,-0.06165202,-9.230565,0.01684956
0.2734285,-0.06165202,-9.224664,0.01684918
0.274349,-0.06393002,-9.219974,0.01684995
0.274349,-0.06393002,-9.215283,0.01684841
0.274349,-0.06393002,-9.210593,0.01684956
0.274349,-0.06393002,-9.205903,0.01684918
0.274349,-0.06393002,-9.201213,0.01684956
0.274349,-0.06393002,-9.196523,0.01684803
0.274349,-0.06393002,-9.191833,0.01684995
0.2794836,-0.06371039,-9.187634,0.01684841
0.2794836,-0.06371039,-9.183436,0.01684956
0.2794836,-0.06371039,-9.179238,0.0168488
0.2794836,-0.06371039,-9.17504,0.0168488
0.2794836,-0.06371039,-9.170842,0.01684918
0.281078,-0.06463424,-9.167967,0.01685072
0.281078,-0.06463424,-9.165092,0.01684803
0.281078,-0.06463424,-9.162216,0.01684918
0.281078,-0.06463424,-9.159341,0.0168488
0.281078,-0.06463424,-9.156466,0.01684995
0.281078,-0.06463424,-9.15359,0.01684918
0.281078,-0.06463424,-9.150715,0.0168488
0.3015173,-0.06568749,-9.150366,0.01684918
0.3015173,-0.06568749,-9.150017,0.01684918
0.3015173,-0.06568749,-9.149668,0.01684918
0.3015173,-0.06568749,-9.149319,0.01684918
0.3015173,-0.06568749,-9.14897,0.003682396
0.3015173,-0.06568749,-9.148621,0.01685033
0.2621054,-0.06385972,-9.119159,0.0168488
0.2621054,-0.06385972,-9.089697,0.01684918
0.2621054,-0.06385972,-9.060235,0.0168488
0.2621054,-0.06385972,-9.030773,0.01684995
0.2621054,-0.06385972,-9.001311,0.0168488
0.2621054,-0.06385972,-8.971849,0.01685148
0.2621054,-0.06385972,-8.942388,0.01684687
0.2574366,-0.06318291,-8.893952,0.01685033
0.2574366,-0.06318291,-8.845517,0.01684841
0.2574366,-0.06318291,-8.797082,0.01684918
0.2574366,-0.06318291,-8.748647,0.0168488
0.2574366,-0.06318291,-8.700212,0.01684956
0.2419205,-0.06594013,-8.650266,0.0168488
0.2419205,-0.06594013,-8.60032,0.01684918
0.2419205,-0.06594013,-8.550374,0.01684841
0.2419205,-0.06594013,-8.500428,0.01684995
0.2419205,-0.06594013,-8.450482,0.01684841
0.2419205,-0.06594013,-8.400537,0.01684956
0.2285652,-0.05715034,-8.356727,0.01684918
0.2285652,-0.05715034,-8.312917,0.01684956
0.2285652,-0.05715034,-8.269107,0.01684841
0.2285652,-0.05715034,-8.225297,0.01684995
0.2285652,-0.05715034,-8.181487,0.01684956
0.2375159,-0.06378443,-8.147667,0.01685072
0.2375159,-0.06378443,-8.113847,0.01684726
0.2375159,-0.06378443,-8.080027,0.01685187
0.2375159,-0.06378443,-8.046206,0.01684649
0.2375159,-0.06378443,-8.012386,0.01684995
0.2375159,-0.06378443,-7.978566,0.01684764
